53	90
86	16
37	89
13	19
63	28
80	4
59	17
40	88
31	10
58	98
20	35
81	26
6	100
4	97
47	62
59	65
8	6
20	77
74	24
92	99
22	63
96	60
94	76
56	47
48	11
11	60
13	55
89	77
48	25
46	58
83	71
24	34
35	51
74	29
79	19
66	26
63	95
86	35
32	99
37	74
40	37
91	50
58	86
45	38
17	88
92	56
2	82
76	56
77	97
2	99
67	31
92	43
25	17
84	58
66	53
0	78
89	11
19	43
18	47
23	61
79	5
27	28
42	59
29	7
71	19
96	89
36	74
18	45
32	86
32	28
0	21
91	27
21	86
91	0
40	73
56	96
9	64
40	24
21	98
73	60
2	10
96	73
17	98
17	63
85	41
2	54
80	61
75	77
65	50
100	12
35	15
42	96
59	57
13	72
71	12
39	13
69	16
73	12
3	17
69	29
25	90
67	16
39	89
12	19
30	28
74	4
64	17
29	88
61	10
35	98
38	35
92	26
30	100
52	97
11	62
39	65
33	6
38	77
26	24
45	99
81	63
87	60
19	76
96	47
41	11
26	60
24	55
5	77
87	25
60	58
45	71
23	34
79	51
33	29
37	19
9	26
80	95
34	35
65	99
16	74
66	37
53	50
87	86
9	38
66	88
4	56
51	82
64	56
55	97
16	99
57	31
94	43
71	17
94	58
47	53
32	78
77	11
38	43
36	47
22	61
83	5
34	28
95	59
83	7
29	19
97	89
45	74
38	45
85	86
21	28
78	21
55	27
22	86
34	0
50	73
19	96
44	64
4	24
91	98
89	60
15	10
20	73
89	98
58	63
11	41
72	54
72	61
81	77
96	50
80	12
80	15
17	96
24	57
20	72
20	12
85	13
75	16
31	12
90	17
44	29
69	90
81	16
37	89
58	19
27	28
23	4
3	17
76	88
51	10
100	98
73	35
67	26
60	100
43	97
78	62
26	65
27	6
4	77
86	24
70	99
56	63
13	60
89	76
80	47
93	11
1	60
44	55
27	77
91	25
54	58
47	71
56	34
22	51
94	29
57	19
30	26
50	95
85	35
67	99
99	74
87	37
47	50
63	86
10	38
11	88
8	56
87	82
3	56
67	97
43	99
78	31
34	43
21	17
26	58
63	53
53	78
88	11
7	43
71	47
41	61
21	5
83	28
50	59
62	7
27	19
42	89
53	74
29	45
11	86
74	28
29	21
63	27
66	86
97	0
20	73
36	96
52	64
40	24
55	98
25	60
6	10
32	73
26	98
15	63
22	41
46	54
34	61
85	77
42	50
87	12
67	15
82	96
62	57
74	72
27	12
40	13
8	16
82	12
79	17
100	29
45	90
18	16
36	89
49	19
89	28
67	4
5	17
51	88
98	10
74	98
21	35
45	26
60	100
68	97
97	62
77	65
60	6
39	77
96	24
56	99
10	63
94	60
77	76
24	47
51	11
78	60
44	55
4	77
99	25
40	58
49	71
70	34
53	51
35	29
71	19
52	26
59	95
42	35
67	99
38	74
76	37
81	50
24	86
58	38
92	88
18	56
16	82
34	56
53	97
5	99
22	31
14	43
97	17
90	58
10	53
13	78
20	11
71	43
5	47
92	61
18	5
60	28
83	59
22	7
57	19
18	89
86	74
73	45
1	86
12	28
11	21
3	27
95	86
42	0
23	73
0	96
13	64
2	24
96	98
37	60
24	10
35	73
48	98
8	63
56	41
8	54
31	61
13	77
4	50
75	12
35	15
50	96
8	57
18	72
86	12
94	13
88	16
2	12
62	17
16	29
29	90
74	16
34	89
57	19
10	28
4	4
50	17
2	88
63	10
1	98
65	35
76	26
22	100
9	97
93	62
83	65
88	6
18	77
20	24
20	99
72	63
47	60
55	76
32	47
80	11
18	60
22	55
8	77
81	25
21	58
81	71
70	34
3	51
62	29
32	19
9	26
64	95
27	35
35	99
39	74
1	37
74	50
25	86
79	38
40	88
22	56
1	82
56	56
38	97
50	99
18	31
98	43
28	17
30	58
56	53
96	78
10	11
44	43
31	47
99	61
1	5
6	28
57	59
39	7
2	19
85	89
52	74
26	45
98	86
86	28
18	21
17	27
72	86
96	0
3	73
87	96
52	64
10	24
94	98
26	60
63	10
16	73
84	98
95	63
33	41
53	54
31	61
79	77
76	50
76	12
95	15
70	96
25	57
23	72
41	12
84	13
64	16
91	12
84	17
1	29
84	90
50	16
28	89
77	19
76	28
78	4
22	17
26	88
8	10
53	98
2	35
9	26
39	100
79	97
30	62
83	65
3	6
9	77
70	24
99	99
22	63
24	60
11	76
16	47
98	11
88	60
63	55
7	77
59	25
66	58
64	71
2	34
10	51
20	29
94	19
59	26
29	95
48	35
71	99
91	74
23	37
87	50
78	86
33	38
23	88
72	56
2	82
54	56
80	97
93	99
74	31
89	43
24	17
2	58
56	53
34	78
8	11
12	43
93	47
32	61
94	5
1	28
61	59
19	7
96	19
65	89
90	74
49	45
80	86
94	28
64	21
67	27
50	86
75	0
48	73
55	96
53	64
8	24
90	98
50	60
